dataset,split,filename,abs_image_path,md5
FUNDUS_SORTED,Train,388.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/388.jpg,04675a31d8659b70cecdc56bf66b0f5d
ORIGA,B,388.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/388.jpg,04675a31d8659b70cecdc56bf66b0f5d
FUNDUS_SORTED,Train,009.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/009.jpg,0468a79a512fcd4831d74d5a9d4def34
ORIGA,B,009.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/009.jpg,0468a79a512fcd4831d74d5a9d4def34
FUNDUS_SORTED,Train,482.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/482.jpg,047b504cf6fb532f3b0ad321e29a85f3
ORIGA,A,482.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/482.jpg,047b504cf6fb532f3b0ad321e29a85f3
ORIGA,B,018.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/018.jpg,049770afe8febb4b63745780bf4cc270
FUNDUS_SORTED,Train,018.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/018.jpg,049770afe8febb4b63745780bf4cc270
ORIGA,A,426.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/426.jpg,053afc884dc0ad2da36f5ff53368abce
FUNDUS_SORTED,Train,426.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Positive/426.jpg,053afc884dc0ad2da36f5ff53368abce
ORIGA,B,585.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/585.jpg,059ec2c819151655d58e6329e7b45c06
FUNDUS_SORTED,Validation,585.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Validation/Glaucoma_Negative/585.jpg,059ec2c819151655d58e6329e7b45c06
ORIGA,B,444.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/444.jpg,05a6a09eab822e90888441245a66ef27
FUNDUS_SORTED,Train,444.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/444.jpg,05a6a09eab822e90888441245a66ef27
FUNDUS_SORTED,Validation,615.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Validation/Glaucoma_Positive/615.jpg,05bbf81122190a1f67136ece9eab9489
ORIGA,A,615.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/615.jpg,05bbf81122190a1f67136ece9eab9489
FUNDUS_SORTED,Train,133.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/133.jpg,061e93b670d1cf91fef7e111453aa03f
ORIGA,A,133.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/133.jpg,061e93b670d1cf91fef7e111453aa03f
FUNDUS_SORTED,Train,073.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/073.jpg,064a6dc517cf71244fcaffc69c735e6f
ORIGA,A,073.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/073.jpg,064a6dc517cf71244fcaffc69c735e6f
FUNDUS_SORTED,Train,151.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/151.jpg,064c3a10cad5aff181878a2967384a73
ORIGA,A,151.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/151.jpg,064c3a10cad5aff181878a2967384a73
FUNDUS_SORTED,Validation,577.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Validation/Glaucoma_Negative/577.jpg,068a9d102d52f97077af26d06641b192
ORIGA,A,577.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/577.jpg,068a9d102d52f97077af26d06641b192
ORIGA,B,229.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/229.jpg,0726264343bc5394c13a98f19233e1f5
FUNDUS_SORTED,Train,229.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Positive/229.jpg,0726264343bc5394c13a98f19233e1f5
ORIGA,B,466.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/466.jpg,08667405d206fba8d161b7c25cc145cb
FUNDUS_SORTED,Train,466.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/466.jpg,08667405d206fba8d161b7c25cc145cb
ORIGA,B,166.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/166.jpg,0872de03ae14b7945702784988b814c7
FUNDUS_SORTED,Train,166.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/166.jpg,0872de03ae14b7945702784988b814c7
FUNDUS_SORTED,Train,445.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/445.jpg,0890f61fc0015d498177b8dfb36e82f5
ORIGA,B,445.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/445.jpg,0890f61fc0015d498177b8dfb36e82f5
FUNDUS_SORTED,Train,449.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/449.jpg,08c8876aa4cacefd8628351fc2e248b5
ORIGA,B,449.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/449.jpg,08c8876aa4cacefd8628351fc2e248b5
ORIGA,A,423.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/423.jpg,09a6d90f198d77c9eac38d03d98ef2d0
FUNDUS_SORTED,Train,423.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/423.jpg,09a6d90f198d77c9eac38d03d98ef2d0
FUNDUS_SORTED,Train,038.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/038.jpg,09cada4ab86c54ea7e28ff53744a3eed
ORIGA,A,038.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/038.jpg,09cada4ab86c54ea7e28ff53744a3eed
ORIGA,B,441.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/441.jpg,0a82ae1ff3e5d2f5e6a437577cdd3ff5
FUNDUS_SORTED,Train,441.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Positive/441.jpg,0a82ae1ff3e5d2f5e6a437577cdd3ff5
ORIGA,A,222.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/222.jpg,0b11900c694a9700da13783d0aa063fb
FUNDUS_SORTED,Train,222.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/222.jpg,0b11900c694a9700da13783d0aa063fb
FUNDUS_SORTED,Validation,620.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Validation/Glaucoma_Negative/620.jpg,0b188ace6700e71f557e3fc9c74ff48c
ORIGA,B,620.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/620.jpg,0b188ace6700e71f557e3fc9c74ff48c
ORIGA,B,192.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/192.jpg,0bce2852e3e5ddc06e01d87ce494f20e
FUNDUS_SORTED,Train,192.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/192.jpg,0bce2852e3e5ddc06e01d87ce494f20e
FUNDUS_SORTED,Train,284.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Positive/284.jpg,0be39443281be0da0b8a41cce1b870dc
ORIGA,B,284.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/284.jpg,0be39443281be0da0b8a41cce1b870dc
ORIGA,B,499.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/499.jpg,0c5337e0f186e2ef7b1ecd71c7307876
FUNDUS_SORTED,Validation,499.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Validation/Glaucoma_Negative/499.jpg,0c5337e0f186e2ef7b1ecd71c7307876
ORIGA,A,240.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/240.jpg,0c660d24898ccd3f2ffba4a0729434de
FUNDUS_SORTED,Train,240.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Positive/240.jpg,0c660d24898ccd3f2ffba4a0729434de
ORIGA,A,160.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/160.jpg,0cddaf9e7e534196ef9a87a3258c7d9f
FUNDUS_SORTED,Train,160.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Positive/160.jpg,0cddaf9e7e534196ef9a87a3258c7d9f
ORIGA,A,189.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/189.jpg,0d3309f1982d21f25838923b72cbabe4
FUNDUS_SORTED,Train,189.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/189.jpg,0d3309f1982d21f25838923b72cbabe4
FUNDUS_SORTED,Train,300.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Positive/300.jpg,0d61a2640e5e5dab65e773a3ea9284d5
ORIGA,B,300.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/300.jpg,0d61a2640e5e5dab65e773a3ea9284d5
ORIGA,A,204.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/204.jpg,0d7901da8811caa85494c34561c1fd53
FUNDUS_SORTED,Train,204.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/204.jpg,0d7901da8811caa85494c34561c1fd53
ORIGA,B,190.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/190.jpg,0dbd1f66c7abebe9ef635c38b1819987
FUNDUS_SORTED,Train,190.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/190.jpg,0dbd1f66c7abebe9ef635c38b1819987
ORIGA,B,155.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/155.jpg,0dbe42ed12019e345b827c5afcd7ceba
FUNDUS_SORTED,Train,155.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/155.jpg,0dbe42ed12019e345b827c5afcd7ceba
FUNDUS_SORTED,Train,317.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Positive/317.jpg,0e87150299fb0668ff0e244ad9e0551e
ORIGA,A,317.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/317.jpg,0e87150299fb0668ff0e244ad9e0551e
FUNDUS_SORTED,Train,218.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/218.jpg,0ec08b45223f6fd199728c964bc4a31f
ORIGA,B,218.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/218.jpg,0ec08b45223f6fd199728c964bc4a31f
ORIGA,A,427.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/427.jpg,0efef7a1145eaa7f5c3c48001a09fe4b
FUNDUS_SORTED,Train,427.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/427.jpg,0efef7a1145eaa7f5c3c48001a09fe4b
FUNDUS_SORTED,Validation,547.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Validation/Glaucoma_Negative/547.jpg,0fc92cdb2b188c3cdb57c797f7e870e4
ORIGA,A,547.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/547.jpg,0fc92cdb2b188c3cdb57c797f7e870e4
ORIGA,B,193.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/193.jpg,1013f49bb42fe91a4c584e9b460f4568
FUNDUS_SORTED,Train,193.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/193.jpg,1013f49bb42fe91a4c584e9b460f4568
ORIGA,B,528.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/528.jpg,1048c0e1ba9ca06f384f427e84794dfc
FUNDUS_SORTED,Train,528.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Positive/528.jpg,1048c0e1ba9ca06f384f427e84794dfc
FUNDUS_SORTED,Train,250.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/250.jpg,10a0257e77403088ad6bef1464fc6199
ORIGA,A,250.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/250.jpg,10a0257e77403088ad6bef1464fc6199
FUNDUS_SORTED,Validation,594.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Validation/Glaucoma_Negative/594.jpg,10e7019ec45dcfe1e5cce90bb24606f2
ORIGA,A,594.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/594.jpg,10e7019ec45dcfe1e5cce90bb24606f2
ORIGA,A,146.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/146.jpg,10e896d09e85ee0e0b91bbf94a30a6ee
FUNDUS_SORTED,Train,146.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/146.jpg,10e896d09e85ee0e0b91bbf94a30a6ee
ORIGA,A,406.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/406.jpg,11075231e139b455b8f59ea5079d6266
FUNDUS_SORTED,Train,406.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/406.jpg,11075231e139b455b8f59ea5079d6266
FUNDUS_SORTED,Train,369.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/369.jpg,114b6dae6c6f6d972c0d755a43c3a26a
ORIGA,A,369.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/369.jpg,114b6dae6c6f6d972c0d755a43c3a26a
FUNDUS_SORTED,Train,242.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/242.jpg,11cdba466d3d30cb55d6ed287348077f
ORIGA,B,242.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/242.jpg,11cdba466d3d30cb55d6ed287348077f
ORIGA,A,287.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/287.jpg,11d74f98e9a745dea2c2cb6e86f9c9ca
FUNDUS_SORTED,Train,287.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/287.jpg,11d74f98e9a745dea2c2cb6e86f9c9ca
ORIGA,A,523.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/523.jpg,11da17fc4ebff69b7254080eb9086222
FUNDUS_SORTED,Train,523.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Positive/523.jpg,11da17fc4ebff69b7254080eb9086222
FUNDUS_SORTED,Train,114.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/114.jpg,122fb6f501fd2fd7aefd74f6a2081be1
ORIGA,A,114.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/114.jpg,122fb6f501fd2fd7aefd74f6a2081be1
FUNDUS_SORTED,Train,409.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/409.jpg,12699839148d33f471ddf3bd8fd6ed02
ORIGA,B,409.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/409.jpg,12699839148d33f471ddf3bd8fd6ed02
FUNDUS_SORTED,Validation,529.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Validation/Glaucoma_Negative/529.jpg,1376d082f8e23665fb97e34ea53ec940
ORIGA,B,529.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/529.jpg,1376d082f8e23665fb97e34ea53ec940
FUNDUS_SORTED,Train,435.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Negative/435.jpg,138f7d3ba1f880b7ed98b4729758f67b
ORIGA,A,435.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/ORIGA/ORIGA/Images/435.jpg,138f7d3ba1f880b7ed98b4729758f67b
FUNDUS_SORTED,Train,359.jpg,/raid/home/students/hawky_luc/P-le-Projet-Zenkolab/datasets/sshikamaru__glaucoma-detection/Fundus_Train_Val_Data/Fundus_Scanes_Sorted/Train/Glaucoma_Positive/359.jpg,1398521af5e896b15d63a2ae7746efce
